Node,Depth,Value
B5,5,41
B4,5,41
A4,4,41
B5,5,20
A4,4,41
B2,3,41
A5,4,-Infinity
B2,5,-9
A5,4,-9
B3,5,-8
A5,4,-8
B4,5,8
A5,4,8
B5,5,8
A5,4,8
B2,3,8
B3,3,8
B3,3,Infinity
A2,4,-Infinity
B2,5,4
A2,4,4
B3,5,-1
A2,4,4
B4,5,16
A2,4,16
B5,5,16
A2,4,16
B3,3,16
A3,4,-Infinity
B2,5,-7
A3,4,-7
B3,5,-13
A3,4,-7
B4,5,4
A3,4,4
B5,5,-Infinity
B2,5,15
B5,5,15
B3,5,9
B5,5,15
B4,5,-Infinity
B2,5,39
B4,5,39
B3,5,34
B4,5,39
B4,5,30
B4,5,39
B5,5,32
B4,5,39
B5,5,39
B5,5,-Infinity
B2,5,18
B5,5,18
B3,5,-Infinity
B2,5,24
B3,5,24
B3,5,14
B3,5,24
B4,5,35
B3,5,35
B5,5,14
B3,5,35
B5,5,35
B4,5,30
B5,5,35
B5,5,9
B5,5,35
B5,5,39
A3,4,39
B3,3,16
A4,4,-Infinity
B2,5,-Infinity
B2,5,5
B2,5,5
B3,5,6
B2,5,6
B4,5,23
B2,5,23
B5,5,23
B2,5,23
A4,4,23
B3,5,-2
A4,4,23
B4,5,15
A4,4,23
B5,5,15
A4,4,23
B3,3,16
A5,4,-Infinity
B2,5,-7
A5,4,-7
B3,5,-13
A5,4,-7
B4,5,4
A5,4,4
B5,5,-Infinity
B2,5,15
B5,5,15
B3,5,9
B5,5,15
B4,5,-Infinity
B2,5,39
B4,5,39
B3,5,34
B4,5,39
B4,5,30
B4,5,39
B5,5,32
B4,5,39
B5,5,39
B5,5,-Infinity
B2,5,18
B5,5,18
B3,5,-Infinity
B2,5,24
B3,5,24
B3,5,14
B3,5,24
B4,5,35
B3,5,35
B5,5,14
B3,5,35
B5,5,35
B4,5,30
B5,5,35
B5,5,9
B5,5,35
B5,5,39
A5,4,39
B3,3,16
B3,3,16
B4,3,Infinity
A2,4,-Infinity
B2,5,20
A2,4,20
B3,5,16
A2,4,20
B4,5,15
A2,4,20
B5,5,32
A2,4,32
B4,3,32
A3,4,-Infinity
B2,5,8
A3,4,8
B3,5,4
A3,4,8
B4,5,2
A3,4,8
B5,5,19
A3,4,19
B4,3,19
A4,4,-Infinity
B2,5,-Infinity
B2,5,20
B2,5,20
B3,5,24
B2,5,24
B4,5,23
B2,5,24
B5,5,40
B2,5,40
A4,4,40
B3,5,14
A4,4,40
B4,5,13
A4,4,40
B5,5,30
A4,4,40
B4,3,19
A5,4,-Infinity
B2,5,8
A5,4,8
B3,5,4
A5,4,8
B4,5,2
A5,4,8
B5,5,19
A5,4,19
B4,3,19
B3,3,19
B5,3,Infinity
A2,4,-Infinity
B2,5,20
A2,4,20
B3,5,16
A2,4,20
B4,5,32
A2,4,32
B5,5,15
A2,4,32
B5,3,32
A3,4,-Infinity
B2,5,8
A3,4,8
B3,5,4
A3,4,8
B4,5,19
A3,4,19
B5,5,2
A3,4,19
B5,3,19
A4,4,-Infinity
B2,5,-Infinity
B2,5,20
B2,5,20
B3,5,24
B2,5,24
B4,5,40
B2,5,40
B5,5,23
B2,5,40
A4,4,40
B3,5,14
A4,4,40
B4,5,30
A4,4,40
B5,5,13
A4,4,40
B5,3,19
A5,4,-Infinity
B2,5,8
A5,4,8
B3,5,4
A5,4,8
B4,5,19
A5,4,19
B5,5,2
A5,4,19
B5,3,19
B3,3,19
A2,2,19
B4,3,-Infinity
B2,3,Infinity
A2,4,-Infinity
B2,5,8
A2,4,8
B3,5,20
A2,4,20
B4,5,5
A2,4,20
